# fluent definitions for robot example
PREFIX robot: <http://www.semanticweb.org/anon/ontologies/2021/3/>

OBJECT thing robot  -> robot:robot
PREDICATE Column18(thing)  -> robot:Column18
PREDICATE Column19(thing)  -> robot:Column19
PREDICATE Column2(thing)  -> robot:Column2
PREDICATE Column20(thing)  -> robot:Column20
PREDICATE Column21(thing)  -> robot:Column21
PREDICATE Column22(thing)  -> robot:Column22
PREDICATE Column23(thing)  -> robot:Column23
PREDICATE Column24(thing)  -> robot:Column24
PREDICATE Column25(thing)  -> robot:Column25
PREDICATE Column26(thing)  -> robot:Column26
PREDICATE Column27(thing)  -> robot:Column27
PREDICATE Column3(thing)  -> robot:Column3
PREDICATE Column4(thing)  -> robot:Column4
PREDICATE Column5(thing)  -> robot:Column5
PREDICATE Column6(thing)  -> robot:Column6
PREDICATE Column7(thing)  -> robot:Column7
PREDICATE Column8(thing)  -> robot:Column8
PREDICATE Column9(thing)  -> robot:Column9
PREDICATE Columns(thing)  -> robot:Columns
PREDICATE LeftOf1(thing)  -> robot:LeftOf1
PREDICATE LeftOf10(thing)  -> robot:LeftOf10
PREDICATE LeftOf11(thing)  -> robot:LeftOf11
PREDICATE LeftOf12(thing)  -> robot:LeftOf12
PREDICATE LeftOf13(thing)  -> robot:LeftOf13
PREDICATE LeftOf14(thing)  -> robot:LeftOf14
PREDICATE LeftOf15(thing)  -> robot:LeftOf15
PREDICATE LeftOf16(thing)  -> robot:LeftOf16
PREDICATE LeftOf17(thing)  -> robot:LeftOf17
PREDICATE LeftOf18(thing)  -> robot:LeftOf18
PREDICATE LeftOf19(thing)  -> robot:LeftOf19
PREDICATE LeftOf2(thing)  -> robot:LeftOf2
PREDICATE LeftOf20(thing)  -> robot:LeftOf20
PREDICATE LeftOf21(thing)  -> robot:LeftOf21
PREDICATE LeftOf22(thing)  -> robot:LeftOf22
PREDICATE LeftOf23(thing)  -> robot:LeftOf23
PREDICATE LeftOf24(thing)  -> robot:LeftOf24
PREDICATE LeftOf25(thing)  -> robot:LeftOf25
PREDICATE LeftOf26(thing)  -> robot:LeftOf26
PREDICATE LeftOf27(thing)  -> robot:LeftOf27
PREDICATE LeftOf28(thing)  -> robot:LeftOf28
PREDICATE LeftOf3(thing)  -> robot:LeftOf3
PREDICATE LeftOf4(thing)  -> robot:LeftOf4
PREDICATE LeftOf5(thing)  -> robot:LeftOf5
PREDICATE LeftOf6(thing)  -> robot:LeftOf6
PREDICATE LeftOf7(thing)  -> robot:LeftOf7
PREDICATE LeftOf8(thing)  -> robot:LeftOf8
PREDICATE LeftOf9(thing)  -> robot:LeftOf9
PREDICATE RightOf0(thing)  -> robot:RightOf0
PREDICATE RightOf1(thing)  -> robot:RightOf1
PREDICATE RightOf10(thing)  -> robot:RightOf10
PREDICATE RightOf11(thing)  -> robot:RightOf11
PREDICATE RightOf12(thing)  -> robot:RightOf12
PREDICATE RightOf13(thing)  -> robot:RightOf13
PREDICATE RightOf14(thing)  -> robot:RightOf14
PREDICATE RightOf15(thing)  -> robot:RightOf15
PREDICATE RightOf16(thing)  -> robot:RightOf16
PREDICATE RightOf17(thing)  -> robot:RightOf17
PREDICATE RightOf18(thing)  -> robot:RightOf18
PREDICATE RightOf19(thing)  -> robot:RightOf19
PREDICATE RightOf2(thing)  -> robot:RightOf2
PREDICATE RightOf20(thing)  -> robot:RightOf20
PREDICATE RightOf21(thing)  -> robot:RightOf21
PREDICATE RightOf22(thing)  -> robot:RightOf22
PREDICATE RightOf23(thing)  -> robot:RightOf23
PREDICATE RightOf24(thing)  -> robot:RightOf24
PREDICATE RightOf25(thing)  -> robot:RightOf25
PREDICATE RightOf26(thing)  -> robot:RightOf26
PREDICATE RightOf27(thing)  -> robot:RightOf27
PREDICATE RightOf3(thing)  -> robot:RightOf3
PREDICATE RightOf4(thing)  -> robot:RightOf4
PREDICATE RightOf5(thing)  -> robot:RightOf5
PREDICATE RightOf6(thing)  -> robot:RightOf6
PREDICATE RightOf7(thing)  -> robot:RightOf7
PREDICATE RightOf8(thing)  -> robot:RightOf8
PREDICATE RightOf9(thing)  -> robot:RightOf9
PREDICATE Row0(thing)  -> robot:Row0
PREDICATE Row1(thing)  -> robot:Row1
PREDICATE Row10(thing)  -> robot:Row10
PREDICATE Row11(thing)  -> robot:Row11
PREDICATE Row12(thing)  -> robot:Row12
PREDICATE Row13(thing)  -> robot:Row13
PREDICATE Row14(thing)  -> robot:Row14
PREDICATE Row15(thing)  -> robot:Row15
PREDICATE Row16(thing)  -> robot:Row16
PREDICATE Row17(thing)  -> robot:Row17
PREDICATE Row18(thing)  -> robot:Row18
PREDICATE Row19(thing)  -> robot:Row19
PREDICATE Row2(thing)  -> robot:Row2
PREDICATE Row20(thing)  -> robot:Row20
PREDICATE Row21(thing)  -> robot:Row21
PREDICATE Row22(thing)  -> robot:Row22
PREDICATE Row23(thing)  -> robot:Row23
PREDICATE Row24(thing)  -> robot:Row24
PREDICATE Row25(thing)  -> robot:Row25
PREDICATE Row26(thing)  -> robot:Row26
PREDICATE Row27(thing)  -> robot:Row27
PREDICATE Row3(thing)  -> robot:Row3
PREDICATE Row4(thing)  -> robot:Row4
PREDICATE Row5(thing)  -> robot:Row5
PREDICATE Row6(thing)  -> robot:Row6
PREDICATE Row7(thing)  -> robot:Row7
PREDICATE Row8(thing)  -> robot:Row8
PREDICATE Row9(thing)  -> robot:Row9
PREDICATE Rows(thing)  -> robot:Rows
