id,method,name,folder,ontology,domain,problem
101,om_planning,drones7-7,../examples/drones/7-7,drone7-7.ttl,drone.pddl,droneProblem7-7.pddl
102,horn_planning,drones7-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem7-7.pddl
103,om_planning,drones7-8,../examples/drones/7-8,drone7-8.ttl,drone.pddl,droneProblem7-8.pddl
104,horn_planning,drones7-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem7-8.pddl
105,om_planning,drones8-5,../examples/drones/8-5,drone8-5.ttl,drone.pddl,droneProblem8-5.pddl
106,horn_planning,drones8-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-5.pddl
107,om_planning,drones8-6,../examples/drones/8-6,drone8-6.ttl,drone.pddl,droneProblem8-6.pddl
108,horn_planning,drones8-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-6.pddl
109,om_planning,drones8-7,../examples/drones/8-7,drone8-7.ttl,drone.pddl,droneProblem8-7.pddl
110,horn_planning,drones8-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-7.pddl
111,om_planning,drones8-8,../examples/drones/8-8,drone8-8.ttl,drone.pddl,droneProblem8-8.pddl
112,horn_planning,drones8-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem8-8.pddl
113,om_planning,drones9-5,../examples/drones/9-5,drone9-5.ttl,drone.pddl,droneProblem9-5.pddl
114,horn_planning,drones9-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-5.pddl
115,om_planning,drones9-6,../examples/drones/9-6,drone9-6.ttl,drone.pddl,droneProblem9-6.pddl
116,horn_planning,drones9-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-6.pddl
117,om_planning,drones9-7,../examples/drones/9-7,drone9-7.ttl,drone.pddl,droneProblem9-7.pddl
118,horn_planning,drones9-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-7.pddl
119,om_planning,drones9-8,../examples/drones/9-8,drone9-8.ttl,drone.pddl,droneProblem9-8.pddl
120,horn_planning,drones9-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem9-8.pddl
121,om_planning,drones10-5,../examples/drones/10-5,drone10-5.ttl,drone.pddl,droneProblem10-5.pddl
122,horn_planning,drones10-5,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-5.pddl
123,om_planning,drones10-6,../examples/drones/10-6,drone10-6.ttl,drone.pddl,droneProblem10-6.pddl
124,horn_planning,drones10-6,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-6.pddl
125,om_planning,drones10-7,../examples/drones/10-7,drone10-7.ttl,drone.pddl,droneProblem10-7.pddl
126,horn_planning,drones10-7,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-7.pddl
127,om_planning,drones10-8,../examples/drones/10-8,drone10-8.ttl,drone.pddl,droneProblem10-8.pddl
128,horn_planning,drones10-8,../examples/horn_dl_benchmarks/drones/original,TTL.owl,drone.pddl,droneProblem10-8.pddl
259,om_planning,queens5-1,../examples/queens/5-1,queens5-1.ttl,queens.pddl,problem5-1.pddl
260,horn_planning,queens5-1,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-1.pddl
261,om_planning,queens5-2,../examples/queens/5-2,queens5-2.ttl,queens.pddl,problem5-2.pddl
262,horn_planning,queens5-2,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-2.pddl
263,om_planning,queens5-3,../examples/queens/5-3,queens5-3.ttl,queens.pddl,problem5-3.pddl
264,horn_planning,queens5-3,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-3.pddl
265,om_planning,queens5-4,../examples/queens/5-4,queens5-4.ttl,queens.pddl,problem5-4.pddl
266,horn_planning,queens5-4,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-4.pddl
267,om_planning,queens5-5,../examples/queens/5-5,queens5-5.ttl,queens.pddl,problem5-5.pddl
268,horn_planning,queens5-5,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem5-5.pddl
269,om_planning,queens6-2,../examples/queens/6-2,queens6-2.ttl,queens.pddl,problem6-2.pddl
270,horn_planning,queens6-2,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem6-2.pddl
271,om_planning,queens6-3,../examples/queens/6-3,queens6-3.ttl,queens.pddl,problem6-3.pddl
272,horn_planning,queens6-3,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem6-3.pddl
273,om_planning,queens6-4,../examples/queens/6-4,queens6-4.ttl,queens.pddl,problem6-4.pddl
274,horn_planning,queens6-4,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem6-4.pddl
275,om_planning,queens6-5,../examples/queens/6-5,queens6-5.ttl,queens.pddl,problem6-5.pddl
276,horn_planning,queens6-5,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem6-5.pddl
277,om_planning,queens6-6,../examples/queens/6-6,queens6-6.ttl,queens.pddl,problem6-6.pddl
278,horn_planning,queens6-6,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem6-6.pddl
279,om_planning,queens7-3,../examples/queens/7-3,queens7-3.ttl,queens.pddl,problem7-3.pddl
280,horn_planning,queens7-3,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem7-3.pddl
281,om_planning,queens7-4,../examples/queens/7-4,queens7-4.ttl,queens.pddl,problem7-4.pddl
282,horn_planning,queens7-4,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem7-4.pddl
283,om_planning,queens7-5,../examples/queens/7-5,queens7-5.ttl,queens.pddl,problem7-5.pddl
284,horn_planning,queens7-5,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem7-5.pddl
285,om_planning,queens7-6,../examples/queens/7-6,queens7-6.ttl,queens.pddl,problem7-6.pddl
286,horn_planning,queens7-6,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem7-6.pddl
287,om_planning,queens7-7,../examples/queens/7-7,queens7-7.ttl,queens.pddl,problem7-7.pddl
288,horn_planning,queens7-7,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem7-7.pddl
289,om_planning,queens8-4,../examples/queens/8-4,queens8-4.ttl,queens.pddl,problem8-4.pddl
290,horn_planning,queens8-4,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem8-4.pddl
291,om_planning,queens8-5,../examples/queens/8-5,queens8-5.ttl,queens.pddl,problem8-5.pddl
292,horn_planning,queens8-5,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem8-5.pddl
293,om_planning,queens8-6,../examples/queens/8-6,queens8-6.ttl,queens.pddl,problem8-6.pddl
294,horn_planning,queens8-6,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem8-6.pddl
295,om_planning,queens8-7,../examples/queens/8-7,queens8-7.ttl,queens.pddl,problem8-7.pddl
296,horn_planning,queens8-7,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem8-7.pddl
297,om_planning,queens8-8,../examples/queens/8-8,queens8-8.ttl,queens.pddl,problem8-8.pddl
298,horn_planning,queens8-8,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem8-8.pddl
299,om_planning,queens9-5,../examples/queens/9-5,queens9-5.ttl,queens.pddl,problem9-5.pddl
300,horn_planning,queens9-5,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem9-5.pddl
301,om_planning,queens9-6,../examples/queens/9-6,queens9-6.ttl,queens.pddl,problem9-6.pddl
302,horn_planning,queens9-6,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem9-6.pddl
303,om_planning,queens9-7,../examples/queens/9-7,queens9-7.ttl,queens.pddl,problem9-7.pddl
304,horn_planning,queens9-7,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem9-7.pddl
305,om_planning,queens9-8,../examples/queens/9-8,queens9-8.ttl,queens.pddl,problem9-8.pddl
306,horn_planning,queens9-8,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem9-8.pddl
307,om_planning,queens9-9,../examples/queens/9-9,queens9-9.ttl,queens.pddl,problem9-9.pddl
308,horn_planning,queens9-9,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem9-9.pddl
309,om_planning,queens10-6,../examples/queens/10-6,queens10-6.ttl,queens.pddl,problem10-6.pddl
310,horn_planning,queens10-6,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem10-6.pddl
311,om_planning,queens10-7,../examples/queens/10-7,queens10-7.ttl,queens.pddl,problem10-7.pddl
312,horn_planning,queens10-7,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem10-7.pddl
313,om_planning,queens10-8,../examples/queens/10-8,queens10-8.ttl,queens.pddl,problem10-8.pddl
314,horn_planning,queens10-8,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem10-8.pddl
315,om_planning,queens10-9,../examples/queens/10-9,queens10-9.ttl,queens.pddl,problem10-9.pddl
316,horn_planning,queens10-9,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem10-9.pddl
317,om_planning,queens10-10,../examples/queens/10-10,queens10-10.ttl,queens.pddl,problem10-10.pddl
318,horn_planning,queens10-10,../examples/horn_dl_benchmarks/queens/original,TTL.owl,domain.pddl,problem10-10.pddl
359,om_planning,robotConj3,../examples/robotConj/3,TTL3.owl,robotDomain3.pddl,robotProblem3.pddl
360,horn_planning,robotConj3,../examples/horn_dl_benchmarks/robotConj/original,TTL3.owl,robotDomain3.pddl,robotProblem3.pddl
361,om_planning,robotConj4,../examples/robotConj/4,TTL4.owl,robotDomain4.pddl,robotProblem4.pddl
362,horn_planning,robotConj4,../examples/horn_dl_benchmarks/robotConj/original,TTL4.owl,robotDomain4.pddl,robotProblem4.pddl
363,om_planning,robotConj5,../examples/robotConj/5,TTL5.owl,robotDomain5.pddl,robotProblem5.pddl
364,horn_planning,robotConj5,../examples/horn_dl_benchmarks/robotConj/original,TTL5.owl,robotDomain5.pddl,robotProblem5.pddl
365,om_planning,robotConj6,../examples/robotConj/6,TTL6.owl,robotDomain6.pddl,robotProblem6.pddl
366,horn_planning,robotConj6,../examples/horn_dl_benchmarks/robotConj/original,TTL6.owl,robotDomain6.pddl,robotProblem6.pddl
367,om_planning,robotConj7,../examples/robotConj/7,TTL7.owl,robotDomain7.pddl,robotProblem7.pddl
368,horn_planning,robotConj7,../examples/horn_dl_benchmarks/robotConj/original,TTL7.owl,robotDomain7.pddl,robotProblem7.pddl
369,om_planning,robotConj8,../examples/robotConj/8,TTL8.owl,robotDomain8.pddl,robotProblem8.pddl
370,horn_planning,robotConj8,../examples/horn_dl_benchmarks/robotConj/original,TTL8.owl,robotDomain8.pddl,robotProblem8.pddl
371,om_planning,robotConj9,../examples/robotConj/9,TTL9.owl,robotDomain9.pddl,robotProblem9.pddl
372,horn_planning,robotConj9,../examples/horn_dl_benchmarks/robotConj/original,TTL9.owl,robotDomain9.pddl,robotProblem9.pddl
373,om_planning,robotConj10,../examples/robotConj/10,TTL10.owl,robotDomain10.pddl,robotProblem10.pddl
374,horn_planning,robotConj10,../examples/horn_dl_benchmarks/robotConj/original,TTL10.owl,robotDomain10.pddl,robotProblem10.pddl
375,om_planning,robotConj11,../examples/robotConj/11,TTL11.owl,robotDomain11.pddl,robotProblem11.pddl
376,horn_planning,robotConj11,../examples/horn_dl_benchmarks/robotConj/original,TTL11.owl,robotDomain11.pddl,robotProblem11.pddl
377,om_planning,robotConj12,../examples/robotConj/12,TTL12.owl,robotDomain12.pddl,robotProblem12.pddl
378,horn_planning,robotConj12,../examples/horn_dl_benchmarks/robotConj/original,TTL12.owl,robotDomain12.pddl,robotProblem12.pddl
379,om_planning,robotConj13,../examples/robotConj/13,TTL13.owl,robotDomain13.pddl,robotProblem13.pddl
380,horn_planning,robotConj13,../examples/horn_dl_benchmarks/robotConj/original,TTL13.owl,robotDomain13.pddl,robotProblem13.pddl
381,om_planning,robotConj14,../examples/robotConj/14,TTL14.owl,robotDomain14.pddl,robotProblem14.pddl
382,horn_planning,robotConj14,../examples/horn_dl_benchmarks/robotConj/original,TTL14.owl,robotDomain14.pddl,robotProblem14.pddl
383,om_planning,robotConj15,../examples/robotConj/15,TTL15.owl,robotDomain15.pddl,robotProblem15.pddl
384,horn_planning,robotConj15,../examples/horn_dl_benchmarks/robotConj/original,TTL15.owl,robotDomain15.pddl,robotProblem15.pddl
385,om_planning,robotConj16,../examples/robotConj/16,TTL16.owl,robotDomain16.pddl,robotProblem16.pddl
386,horn_planning,robotConj16,../examples/horn_dl_benchmarks/robotConj/original,TTL16.owl,robotDomain16.pddl,robotProblem16.pddl
387,om_planning,robotConj17,../examples/robotConj/17,TTL17.owl,robotDomain17.pddl,robotProblem17.pddl
388,horn_planning,robotConj17,../examples/horn_dl_benchmarks/robotConj/original,TTL17.owl,robotDomain17.pddl,robotProblem17.pddl
389,om_planning,robotConj18,../examples/robotConj/18,TTL18.owl,robotDomain18.pddl,robotProblem18.pddl
390,horn_planning,robotConj18,../examples/horn_dl_benchmarks/robotConj/original,TTL18.owl,robotDomain18.pddl,robotProblem18.pddl
391,om_planning,robotConj19,../examples/robotConj/19,TTL19.owl,robotDomain19.pddl,robotProblem19.pddl
392,horn_planning,robotConj19,../examples/horn_dl_benchmarks/robotConj/original,TTL19.owl,robotDomain19.pddl,robotProblem19.pddl
393,om_planning,robotConj20,../examples/robotConj/20,TTL20.owl,robotDomain20.pddl,robotProblem20.pddl
394,horn_planning,robotConj20,../examples/horn_dl_benchmarks/robotConj/original,TTL20.owl,robotDomain20.pddl,robotProblem20.pddl
395,om_planning,robotConj21,../examples/robotConj/21,TTL21.owl,robotDomain21.pddl,robotProblem21.pddl
396,horn_planning,robotConj21,../examples/horn_dl_benchmarks/robotConj/original,TTL21.owl,robotDomain21.pddl,robotProblem21.pddl
397,om_planning,robotConj22,../examples/robotConj/22,TTL22.owl,robotDomain22.pddl,robotProblem22.pddl
398,horn_planning,robotConj22,../examples/horn_dl_benchmarks/robotConj/original,TTL22.owl,robotDomain22.pddl,robotProblem22.pddl
399,om_planning,blocksworld4-0,../examples/blocksworld/4-0,blocks.ttl,blocks.pddl,blocksProblem4-0.pddl
400,om_planning,blocksworld4-1,../examples/blocksworld/4-1,blocks.ttl,blocks.pddl,blocksProblem4-1.pddl
401,om_planning,blocksworld4-2,../examples/blocksworld/4-2,blocks.ttl,blocks.pddl,blocksProblem4-2.pddl
402,om_planning,blocksworld5-0,../examples/blocksworld/5-0,blocks.ttl,blocks.pddl,blocksProblem5-0.pddl
403,om_planning,blocksworld5-1,../examples/blocksworld/5-1,blocks.ttl,blocks.pddl,blocksProblem5-1.pddl
404,om_planning,blocksworld5-2,../examples/blocksworld/5-2,blocks.ttl,blocks.pddl,blocksProblem5-2.pddl
405,om_planning,blocksworld6-0,../examples/blocksworld/6-0,blocks.ttl,blocks.pddl,blocksProblem6-0.pddl
406,om_planning,blocksworld6-1,../examples/blocksworld/6-1,blocks.ttl,blocks.pddl,blocksProblem6-1.pddl
407,om_planning,blocksworld6-2,../examples/blocksworld/6-2,blocks.ttl,blocks.pddl,blocksProblem6-2.pddl
408,om_planning,blocksworld7-0,../examples/blocksworld/7-0,blocks.ttl,blocks.pddl,blocksProblem7-0.pddl
409,om_planning,blocksworld7-1,../examples/blocksworld/7-1,blocks.ttl,blocks.pddl,blocksProblem7-1.pddl
410,om_planning,blocksworld7-2,../examples/blocksworld/7-2,blocks.ttl,blocks.pddl,blocksProblem7-2.pddl
411,om_planning,blocksworld8-0,../examples/blocksworld/8-0,blocks.ttl,blocks.pddl,blocksProblem8-0.pddl
412,om_planning,blocksworld8-1,../examples/blocksworld/8-1,blocks.ttl,blocks.pddl,blocksProblem8-1.pddl
413,om_planning,blocksworld8-2,../examples/blocksworld/8-2,blocks.ttl,blocks.pddl,blocksProblem8-2.pddl
414,om_planning,blocksworld9-0,../examples/blocksworld/9-0,blocks.ttl,blocks.pddl,blocksProblem9-0.pddl
415,om_planning,blocksworld9-1,../examples/blocksworld/9-1,blocks.ttl,blocks.pddl,blocksProblem9-1.pddl
416,om_planning,blocksworld9-2,../examples/blocksworld/9-2,blocks.ttl,blocks.pddl,blocksProblem9-2.pddl
417,om_planning,blocksworld10-0,../examples/blocksworld/10-0,blocks.ttl,blocks.pddl,blocksProblem10-0.pddl
418,om_planning,blocksworld10-1,../examples/blocksworld/10-1,blocks.ttl,blocks.pddl,blocksProblem10-1.pddl
419,om_planning,blocksworld10-2,../examples/blocksworld/10-2,blocks.ttl,blocks.pddl,blocksProblem10-2.pddl
420,om_planning,pipesA-4,../examples/pipes/A-4,pipesA-4.ttl,pipes.pddl,pipesProblemA-4.pddl
421,horn_planning,pipesA-4,../examples/horn_pipes/A-4,pipes.ttl,pipes.pddl,pipesProblemA-4.pddl
422,om_planning,pipesA-5,../examples/pipes/A-5,pipesA-5.ttl,pipes.pddl,pipesProblemA-5.pddl
423,horn_planning,pipesA-5,../examples/horn_pipes/A-5,pipes.ttl,pipes.pddl,pipesProblemA-5.pddl
424,om_planning,pipesA-6,../examples/pipes/A-6,pipesA-6.ttl,pipes.pddl,pipesProblemA-6.pddl
425,horn_planning,pipesA-6,../examples/horn_pipes/A-6,pipes.ttl,pipes.pddl,pipesProblemA-6.pddl
426,om_planning,pipesA-7,../examples/pipes/A-7,pipesA-7.ttl,pipes.pddl,pipesProblemA-7.pddl
427,horn_planning,pipesA-7,../examples/horn_pipes/A-7,pipes.ttl,pipes.pddl,pipesProblemA-7.pddl
428,om_planning,pipesA-8,../examples/pipes/A-8,pipesA-8.ttl,pipes.pddl,pipesProblemA-8.pddl
429,horn_planning,pipesA-8,../examples/horn_pipes/A-8,pipes.ttl,pipes.pddl,pipesProblemA-8.pddl
430,om_planning,pipesA-9,../examples/pipes/A-9,pipesA-9.ttl,pipes.pddl,pipesProblemA-9.pddl
431,horn_planning,pipesA-9,../examples/horn_pipes/A-9,pipes.ttl,pipes.pddl,pipesProblemA-9.pddl
432,om_planning,pipesA-10,../examples/pipes/A-10,pipesA-10.ttl,pipes.pddl,pipesProblemA-10.pddl
433,horn_planning,pipesA-10,../examples/horn_pipes/A-10,pipes.ttl,pipes.pddl,pipesProblemA-10.pddl
434,om_planning,pipesB-4,../examples/pipes/B-4,pipesB-4.ttl,pipes.pddl,pipesProblemB-4.pddl
435,horn_planning,pipesB-4,../examples/horn_pipes/B-4,pipes.ttl,pipes.pddl,pipesProblemB-4.pddl
436,om_planning,pipesB-5,../examples/pipes/B-5,pipesB-5.ttl,pipes.pddl,pipesProblemB-5.pddl
437,horn_planning,pipesB-5,../examples/horn_pipes/B-5,pipes.ttl,pipes.pddl,pipesProblemB-5.pddl
438,om_planning,pipesB-6,../examples/pipes/B-6,pipesB-6.ttl,pipes.pddl,pipesProblemB-6.pddl
439,horn_planning,pipesB-6,../examples/horn_pipes/B-6,pipes.ttl,pipes.pddl,pipesProblemB-6.pddl
440,om_planning,pipesB-7,../examples/pipes/B-7,pipesB-7.ttl,pipes.pddl,pipesProblemB-7.pddl
441,horn_planning,pipesB-7,../examples/horn_pipes/B-7,pipes.ttl,pipes.pddl,pipesProblemB-7.pddl
442,om_planning,pipesB-8,../examples/pipes/B-8,pipesB-8.ttl,pipes.pddl,pipesProblemB-8.pddl
443,horn_planning,pipesB-8,../examples/horn_pipes/B-8,pipes.ttl,pipes.pddl,pipesProblemB-8.pddl
444,om_planning,pipesB-9,../examples/pipes/B-9,pipesB-9.ttl,pipes.pddl,pipesProblemB-9.pddl
445,horn_planning,pipesB-9,../examples/horn_pipes/B-9,pipes.ttl,pipes.pddl,pipesProblemB-9.pddl
446,om_planning,pipesB-10,../examples/pipes/B-10,pipesB-10.ttl,pipes.pddl,pipesProblemB-10.pddl
447,horn_planning,pipesB-10,../examples/horn_pipes/B-10,pipes.ttl,pipes.pddl,pipesProblemB-10.pddl
448,om_planning,pipesC-4,../examples/pipes/C-4,pipesC-4.ttl,pipes.pddl,pipesProblemC-4.pddl
449,horn_planning,pipesC-4,../examples/horn_pipes/C-4,pipes.ttl,pipes.pddl,pipesProblemC-4.pddl
450,om_planning,pipesC-5,../examples/pipes/C-5,pipesC-5.ttl,pipes.pddl,pipesProblemC-5.pddl
451,horn_planning,pipesC-5,../examples/horn_pipes/C-5,pipes.ttl,pipes.pddl,pipesProblemC-5.pddl
452,om_planning,pipesC-6,../examples/pipes/C-6,pipesC-6.ttl,pipes.pddl,pipesProblemC-6.pddl
453,horn_planning,pipesC-6,../examples/horn_pipes/C-6,pipes.ttl,pipes.pddl,pipesProblemC-6.pddl
454,om_planning,pipesC-7,../examples/pipes/C-7,pipesC-7.ttl,pipes.pddl,pipesProblemC-7.pddl
455,horn_planning,pipesC-7,../examples/horn_pipes/C-7,pipes.ttl,pipes.pddl,pipesProblemC-7.pddl
456,om_planning,pipesC-8,../examples/pipes/C-8,pipesC-8.ttl,pipes.pddl,pipesProblemC-8.pddl
457,horn_planning,pipesC-8,../examples/horn_pipes/C-8,pipes.ttl,pipes.pddl,pipesProblemC-8.pddl
458,om_planning,pipesC-9,../examples/pipes/C-9,pipesC-9.ttl,pipes.pddl,pipesProblemC-9.pddl
459,horn_planning,pipesC-9,../examples/horn_pipes/C-9,pipes.ttl,pipes.pddl,pipesProblemC-9.pddl
460,om_planning,pipesC-10,../examples/pipes/C-10,pipesC-10.ttl,pipes.pddl,pipesProblemC-10.pddl
461,horn_planning,pipesC-10,../examples/horn_pipes/C-10,pipes.ttl,pipes.pddl,pipesProblemC-10.pddl
